,trend_id,name,start_date,end_date,percentage_increase,previous_start_date,previous_end_date,previous_trend_duration,previous_percentage,classification,derivative,level,duration,harpoon_output_signal,harpoon_fuel,harpoon_burnout,harpoon_h9,harpoon_h21,harpoon_h14,top_gun_output_signal,top_gun_top_gun_a,top_gun_top_gun_b,top_gun_fuel,top_gun_burnout,maverick_output_signal,maverick_fuel,maverick_burnout,wind_output_signal,wind_crossover,sonar_output_signal,sonar_fuel,sonar_burnout,DAY,Coverage,Storm,Storm_Actual,Storm_Impact,date,Storm_MA30,Storm_MA7,binaryverdict_grouchy,Grouchy SVM,BinaryVerdictBernadotte,Bernadotte SVM,binaryverdict_Marmont,bernadotte_random_forest,Marmont_random_forest,Grouchy_random_forest
22,2464,AAL,10/12/2019,27/12/2019,5.333335311,5/11/2019,10/12/2019,35.0,-13.40603035,Marshal Ney,0.314,4,17,0.0,0.0,0.0,0.239326301,0.087615265,0.121954678,0.0,98.15247701,98.76831801,0.0,0.0,62.0030821,48.21237472,0.0,28.0549344,36.43410443,0.974858556,29.75338865,26.43661131,20191210,738,76.30575562,26.84854698,119.4364853,10/12/2019 0:00,73.2990036,64.04191589,1,1,1,1,1,1,1,1
23,2465,AAL,27/12/2019,23/01/2020,1.265818201,10/12/2019,27/12/2019,17.0,5.333335311,Marshal Bernadotte,0.047,6,27,0.0,0.0,0.0,0.099267933,0.122744815,0.066041135,0.0,44.29448995,56.54612768,0.0,0.0,43.55204969,45.18235915,0.0,9.951587908,27.63415996,0.255025079,29.63270013,26.52829974,20191227,592,111.9110641,111.5665894,93.05755615,27/12/2019 0:00,68.97702789,53.23681641,1,0,0,1,1,0,1,1
24,2466,AAL,23/01/2020,10/02/2020,-0.034716395,27/12/2019,23/01/2020,27.0,1.265818201,Marshal Grouchy,-0.002,4,18,0.0,0.0,0.0,0.125939189,0.084752598,0.120812132,0.0,83.28849868,83.30473176,0.0,0.0,53.26746722,48.35409579,0.0,23.48022005,15.20092424,0.737911845,29.17591803,26.13908155,20200123,783,93.07342529,16.87035179,147.7511597,23/01/2020 0:00,144.6530609,95.92328644,0,0,1,1,1,1,1,0
25,2467,AAL,10/02/2020,14/05/2020,-68.21813363,23/01/2020,10/02/2020,18.0,-0.034716395,Marshal Grouchy,-0.726,19,94,0.0,0.0,0.0,0.046410308,0.07547042,0.070569978,0.0,22.6071634,29.15964276,0.0,0.0,38.57787939,42.06270234,0.0,20.74403647,25.08039537,0.139541303,12.33380826,8.587191933,20200210,669,24.75760651,19.74511909,24.70407104,10/02/2020 0:00,90.89765167,66.9932785,0,0,1,1,1,1,1,0
26,2468,AAL,14/05/2020,15/06/2020,82.51367715,10/02/2020,14/05/2020,94.0,-68.21813363,Marshal Murat,2.579,7,32,0.0,0.0,0.0,0.216454873,0.141235316,0.220975672,0.0,37.12215194,54.4226131,0.0,0.0,60.18771523,62.29202148,0.0,49.94090892,54.49897496,0.760157749,20.22943218,5.680567669,20200514,726,82.129776,45.48720551,98.64614105,14/05/2020 0:00,59.26908875,50.83972549,1,1,1,1,1,1,1,1
27,2469,AAL,15/06/2020,24/07/2020,-31.79640825,14/05/2020,15/06/2020,32.0,82.51367715,Marshal Grouchy,-0.815,8,39,0.0,0.0,0.0,0.073694662,0.028530649,0.036719173,0.0,35.54763493,33.95659896,0.0,0.0,45.09319738,43.6628929,0.0,33.21030524,22.44388919,0.34471253,13.61406621,10.79993373,20200615,644,102.8747787,102.5581131,128.3153992,15/06/2020 0:00,79.96652985,73.37267303,0,0,1,1,1,1,1,0
28,2470,AAL,24/07/2020,8/09/2020,19.66637141,15/06/2020,24/07/2020,39.0,-31.79640825,Marshal Davout,0.428,10,46,0.0,0.0,0.0,0.198153514,0.187231387,0.155365384,0.0,82.36934617,70.48977873,0.0,0.0,57.37376194,52.9378685,0.0,42.63511893,32.92789053,0.744094319,14.08963708,12.21536284,20200724,750,92.75189972,52.83794403,110.1801529,24/07/2020 0:00,63.10087967,79.37506104,1,1,1,1,1,1,1,1
29,2471,AAL,8/09/2020,2/10/2020,-4.622157807,24/07/2020,8/09/2020,46.0,19.66637141,Marshal Grouchy,-0.193,5,24,0.0,0.0,0.0,0.048250834,0.12399285,0.076385768,0.0,38.57655794,39.34303706,0.0,0.0,48.59765722,47.68886259,0.0,19.24505819,26.05404972,0.388954504,14.07947523,11.62552488,20200908,676,68.60346985,29.31098747,89.64361572,8/09/2020 0:00,77.38964081,86.01242828,0,0,1,1,1,1,1,0
30,2472,AAL,2/10/2020,12/10/2020,-0.615384029,8/09/2020,2/10/2020,24.0,-4.622157807,Marshal Grouchy,-0.062,3,10,,,,,,,,,,,,,,,,,,,,20201002,780,101.9251633,25.40285683,148.3194427,2/10/2020 0:00,81.78607178,85.22394562,0,0,1,1,1,1,1,0
31,2473,AAL,12/10/2020,3/11/2020,-12.92569711,2/10/2020,12/10/2020,10.0,-0.615384029,Marshal Grouchy,-0.588,5,22,0.0,0.0,0.0,0.074312516,0.104252223,0.061240224,0.0,17.35059357,11.11196883,0.0,0.0,36.94263055,43.27883467,0.0,19.09520466,19.82759046,0.137141766,13.78434228,10.77765752,20201012,587,67.71858978,56.25845337,93.8502121,12/10/2020 0:00,76.04547119,75.55384064,0,0,1,1,1,1,1,0
32,2474,AAL,3/11/2020,16/12/2020,49.86667209,12/10/2020,3/11/2020,22.0,-12.92569711,Marshal Murat,1.16,9,43,0.0,0.0,0.0,0.238680702,0.234497848,0.237965193,0.0,24.39452801,46.28344054,0.0,0.0,64.50818154,68.94501158,0.0,50.01904842,29.22876984,0.73789681,18.91823443,11.63776523,20201103,774,162.6325226,179.1984406,142.3516083,3/11/2020 0:00,78.33998108,76.34656525,1,1,1,1,1,1,1,1
